No,Type,Title
1,long paper,Accessible Adventures: Teaching Accessibility to High School Students Through Games (Honorable Mention Best Long Paper Award)
2,long paper,An Empirical Study Evaluating ChatGPT’s Performance in Generating Search Strategies for Systematic Reviews
3,long paper,Artificial Intelligence and Machine Learning Competencies for the Archival Professions
4,long paper,Assessing Privacy Policies and App Settings for User Data Protection: A Data Subject-Centered Framework Analysis of TikTok in the U.S. and Europe (2023-2024)
5,long paper,Back to the Past: A Systematic Review of Immersive Narrative in Cultural Heritage Conservation
6,long paper,Building a Multimodal Dataset of Academic Paper for Keyword Extraction
7,long paper,Combating Misinformation on Social Media Using Social Noise and Social Entropy as a Measure of Uncertainty
8,long paper,"Comparing Climate Change Content and Comments Across Instagram Reels, TikTok, and YouTube Shorts and Long Videos"
9,long paper,Discursive AI Infrastructures: Envisioned and Overlooked Museum Futures
10,long paper,Disinformation in Science: Ethical Considerations Associated with Citing Retracted Works
11,long paper,Emerging Infectious Disease Outbreak Response: Exploring the Sensemaking Process of an Expert Advisory Group
12,long paper,"Empowering Users with ChatGPT and Similar Large-Language Models (LLMs): Everyday Information Needs, Motivations, and Gratification"
13,long paper,Ensuring Consistency in Interagency Government Data Exchange: A Blockchain-Based Solution
14,long paper,Exploration of the Effectiveness and Experience of AI-Assisted Academic Reading (Best Long Paper Award)
15,long paper,Exploratory Search and Beyond: A Study of Complex Search within a Public Digital Library
16,long paper,Exploratory Search in Digital Humanities: A Study of Visual Keyword/Result Linking
17,long paper,"Factors Influencing Professional Associations' Member Engagement Online: An ""Information Practices"" Approach"
18,long paper,From Click to Trip: A Socio-Technical Perspective on Tourism Live Streaming
19,long paper,Generative AI Search Engines as Arbiters of Public Knowledge: An Audit of Bias and Authority
20,long paper,Infrastructure Development and Donation Culture in the Gaza Strip
21,long paper,"It’s Enriched My Life”: Agency in the Digital World: Stories of Empowerment and Well-Being	13"
22,long paper,Lawyers’ Perspectives on Surveillance in U.S. Immigration Enforcement
23,long paper,"Mining, Scraping, Training, Generating: Copyright Implications of AI"
